transaction_id,date,year,quarter,month,customer,customer_id,customer_tier,industry,region,product,category,units,list_price,discount_pct,discount_amt,pocket_price,revenue,unit_cost,total_cost,margin_pct,sales_rep
T0001,2023-01-03,2023,Q1,Jan,Meridian Health,C003,Enterprise,Healthcare,North,CRM Platform,Software,5,8500,4.23,1797.75,8140.45,40702.25,600,3000,92.63,Sarah Chen
T0004,2023-01-17,2023,Q1,Jan,Polar Biotech,C020,Enterprise,Healthcare,East,Training Package,Services,10,1800,8.27,1488.6,1651.14,16511.4,400,4000,75.77,Aisha Patel
T0006,2023-02-01,2023,Q1,Feb,Horizon Tech,C002,Enterprise,Technology,East,ERP Module,Software,2,12000,3.91,938.4,11530.8,23061.6,1200,2400,89.59,Priya Sharma
T0007,2023-02-02,2023,Q1,Feb,Ember Analytics,C018,SMB,Technology,North,Office Chair,Furniture,3,180,28.67,154.83,128.39,385.17,80,240,37.69,Emily Foster
T0008,2023-02-07,2023,Q1,Feb,Harbor Insurance,C013,Enterprise,Financial Services,East,Network Switch,Hardware,1,950,4.77,45.31,904.69,904.69,540,540,40.31,Aisha Patel
T0011,2023-02-09,2023,Q1,Feb,Quantum Devices,C014,Enterprise,Technology,North,BI Dashboard,Software,2,5500,7.26,798.6,5100.7,10201.4,500,1000,90.2,Sarah Chen
T0014,2023-02-15,2023,Q1,Feb,Delta Aerospace,C012,Enterprise,Aerospace,West,Office Chair,Furniture,1,180,10.69,19.24,160.76,160.76,80,80,50.24,David Evans
T0015,2023-02-16,2023,Q1,Feb,Orion Pharma,C008,Enterprise,Healthcare,East,ERP Module,Software,1,12000,5.98,717.6,11282.4,11282.4,1200,1200,89.36,Aisha Patel
T0017,2023-02-18,2023,Q1,Feb,Horizon Tech,C002,Enterprise,Technology,East,BI Dashboard,Software,2,5500,6.84,752.4,5123.8,10247.6,500,1000,90.24,Priya Sharma
T0020,2023-02-23,2023,Q1,Feb,Horizon Tech,C002,Enterprise,Technology,East,Desk Pro,Furniture,2,420,12.2,102.48,368.76,737.52,180,360,51.19,Priya Sharma
T0021,2023-02-26,2023,Q1,Feb,Cascade Retail,C005,Mid-Market,Retail,South,Training Package,Services,1,1800,8.23,148.14,1651.86,1651.86,400,400,75.78,James Okafor
T0023,2023-03-03,2023,Q1,Mar,Coastline Hotels,C019,Mid-Market,Hospitality,West,Laptop Pro,Hardware,1,1200,2.49,29.88,1170.12,1170.12,800,800,31.63,Tom Walsh
T0025,2023-03-08,2023,Q1,Mar,Horizon Tech,C002,Enterprise,Technology,East,CRM Platform,Software,10,8500,5.98,5083.0,7991.7,79917.0,600,6000,92.49,Priya Sharma
T0026,2023-03-11,2023,Q1,Mar,Ember Analytics,C018,SMB,Technology,North,Office Chair,Furniture,2,180,22.5,81.0,139.5,279.0,80,160,42.65,Emily Foster
T0027,2023-03-11,2023,Q1,Mar,BlueRock Mining,C009,Mid-Market,Mining,West,Headset Pro,Hardware,1,220,7.15,15.73,204.27,204.27,120,120,41.25,Tom Walsh
T0029,2023-03-12,2023,Q1,Mar,Apex Industries,C001,Enterprise,Manufacturing,North,Analytics Suite,Software,3,4500,8.08,1090.8,4136.4,12409.2,500,1500,87.91,Sarah Chen
T0030,2023-03-13,2023,Q1,Mar,Quantum Devices,C014,Enterprise,Technology,North,Analytics Suite,Software,2,4500,11.46,1031.4,3984.3,7968.6,500,1000,87.45,Sarah Chen
T0032,2023-03-16,2023,Q1,Mar,Tidal Software,C016,Mid-Market,Technology,South,Office Chair,Furniture,5,180,8.07,72.65,165.47,827.35,80,400,51.65,James Okafor
T0033,2023-03-17,2023,Q1,Mar,BlueRock Mining,C009,Mid-Market,Mining,West,Security Suite,Software,1,3200,9.22,295.04,2904.96,2904.96,280,280,90.36,Tom Walsh
T0034,2023-03-19,2023,Q1,Mar,Nimbus Financial,C006,Enterprise,Financial Services,East,CRM Platform,Software,10,8500,10.6,9010.0,7599.0,75990.0,600,6000,92.1,Priya Sharma
T0035,2023-03-22,2023,Q1,Mar,Delta Aerospace,C012,Enterprise,Aerospace,West,Training Package,Services,2,1800,27.19,978.84,1310.58,2621.16,400,800,69.48,David Evans
T0038,2023-03-24,2023,Q1,Mar,Delta Aerospace,C012,Enterprise,Aerospace,West,Training Package,Services,5,1800,7.19,647.1,1670.58,8352.9,400,2000,76.06,David Evans
T0039,2023-03-25,2023,Q1,Mar,Meridian Health,C003,Enterprise,Healthcare,North,Training Package,Services,1,1800,11.75,211.5,1588.5,1588.5,400,400,74.82,Sarah Chen
T0041,2023-03-29,2023,Q1,Mar,Quantum Devices,C014,Enterprise,Technology,North,Analytics Suite,Software,3,4500,8.25,1113.75,4128.75,12386.25,500,1500,87.89,Sarah Chen
T0042,2023-04-06,2023,Q2,Apr,Meridian Health,C003,Enterprise,Healthcare,North,Security Suite,Software,5,3200,10.19,1630.4,2873.92,14369.6,280,1400,90.26,Sarah Chen
T0045,2023-04-07,2023,Q2,Apr,Ember Analytics,C018,SMB,Technology,North,"Monitor 27""",Hardware,10,350,22.35,782.3,271.77,2717.7,210,2100,22.73,Emily Foster
T0046,2023-04-12,2023,Q2,Apr,Stratos Media,C010,SMB,Media,North,Mobile Device Mgmt,Software,5,2800,31.17,4363.8,1927.24,9636.2,250,1250,87.03,Emily Foster
T0047,2023-04-12,2023,Q2,Apr,Meridian Health,C003,Enterprise,Healthcare,North,ERP Module,Software,2,12000,10.05,2412.0,10794.0,21588.0,1200,2400,88.88,Sarah Chen
T0048,2023-04-13,2023,Q2,Apr,Redwood Construction,C015,SMB,Construction,South,ERP Module,Software,1,12000,13.56,1627.2,10372.8,10372.8,1200,1200,88.43,Marco Ruiz
T0049,2023-04-13,2023,Q2,Apr,Stratos Media,C010,SMB,Media,North,Office Chair,Furniture,1,180,19.08,34.34,145.66,145.66,80,80,45.08,Emily Foster
T0050,2023-04-15,2023,Q2,Apr,Harbor Insurance,C013,Enterprise,Financial Services,East,Headset Pro,Hardware,2,220,13.44,59.14,190.43,380.86,120,240,36.98,Aisha Patel
T0052,2023-04-19,2023,Q2,Apr,Redwood Construction,C015,SMB,Construction,South,Mobile Device Mgmt,Software,3,2800,8.46,710.64,2563.12,7689.36,250,750,90.25,Marco Ruiz
T0053,2023-04-20,2023,Q2,Apr,Horizon Tech,C002,Enterprise,Technology,East,Analytics Suite,Software,2,4500,14.13,1271.7,3864.15,7728.3,500,1000,87.06,Priya Sharma
T0054,2023-04-25,2023,Q2,Apr,Apex Industries,C001,Enterprise,Manufacturing,North,Security Suite,Software,3,3200,13.56,1301.76,2766.08,8298.24,280,840,89.88,Sarah Chen
T0058,2023-05-05,2023,Q2,May,Nimbus Financial,C006,Enterprise,Financial Services,East,BI Dashboard,Software,3,5500,3.07,506.55,5331.15,15993.45,500,1500,90.62,Priya Sharma
T0059,2023-05-09,2023,Q2,May,Meridian Health,C003,Enterprise,Healthcare,North,Headset Pro,Hardware,10,220,12.45,273.9,192.61,1926.1,120,1200,37.7,Sarah Chen
T0061,2023-05-11,2023,Q2,May,Cascade Retail,C005,Mid-Market,Retail,South,Cloud Storage 1TB,Software,1,380,10.68,40.58,339.42,339.42,45,45,86.74,James Okafor
T0062,2023-05-11,2023,Q2,May,Ember Analytics,C018,SMB,Technology,North,"Monitor 27""",Hardware,3,350,38.17,400.77,216.41,649.23,210,630,2.96,Emily Foster
T0063,2023-05-13,2023,Q2,May,Cascade Retail,C005,Mid-Market,Retail,South,Training Package,Services,3,1800,5.84,315.36,1694.88,5084.64,400,1200,76.4,James Okafor
T0065,2023-05-16,2023,Q2,May,Meridian Health,C003,Enterprise,Healthcare,North,Cloud Storage 1TB,Software,2,380,8.33,63.3,348.35,696.7,45,90,87.08,Sarah Chen
T0066,2023-05-16,2023,Q2,May,Coastline Hotels,C019,Mid-Market,Hospitality,West,Server Rack,Hardware,1,6200,11.5,713.0,5487.0,5487.0,4100,4100,25.28,Tom Walsh
T0067,2023-05-17,2023,Q2,May,Granite Automotive,C017,Enterprise,Automotive,West,Server Rack,Hardware,1,6200,7.37,456.94,5743.06,5743.06,4100,4100,28.61,David Evans
T0068,2023-05-18,2023,Q2,May,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,CRM Platform,Software,10,8500,21.4,18190.0,6681.0,66810.0,600,6000,91.02,Emily Foster
T0071,2023-05-22,2023,Q2,May,Quantum Devices,C014,Enterprise,Technology,North,Training Package,Services,5,1800,13.09,1178.1,1564.38,7821.9,400,2000,74.43,Sarah Chen
T0073,2023-05-28,2023,Q2,May,Horizon Tech,C002,Enterprise,Technology,East,"Monitor 27""",Hardware,10,350,4.14,144.9,335.51,3355.1,210,2100,37.41,Priya Sharma
T0074,2023-05-30,2023,Q2,May,Vertex Logistics,C007,Mid-Market,Logistics,South,ERP Module,Software,3,12000,3.59,1292.4,11569.2,34707.6,1200,3600,89.63,Marco Ruiz
T0075,2023-06-02,2023,Q2,Jun,Stratos Media,C010,SMB,Media,North,Headset Pro,Hardware,2,220,26.82,118.0,161.0,322.0,120,240,25.47,Emily Foster
T0076,2023-06-06,2023,Q2,Jun,Harbor Insurance,C013,Enterprise,Financial Services,East,Network Switch,Hardware,1,950,6.67,63.36,886.63,886.63,540,540,39.1,Aisha Patel
T0077,2023-06-12,2023,Q2,Jun,Tidal Software,C016,Mid-Market,Technology,South,Laptop Pro,Hardware,1,1200,13.4,160.8,1039.2,1039.2,800,800,23.02,James Okafor
T0078,2023-06-13,2023,Q2,Jun,Granite Automotive,C017,Enterprise,Automotive,West,Server Rack,Hardware,1,6200,8.1,502.2,5697.8,5697.8,4100,4100,28.04,David Evans
T0079,2023-06-14,2023,Q2,Jun,Meridian Health,C003,Enterprise,Healthcare,North,Server Rack,Hardware,3,6200,5.05,939.3,5886.9,17660.7,4100,12300,30.35,Sarah Chen
T0080,2023-06-15,2023,Q2,Jun,Solaris Energy,C004,Mid-Market,Energy,West,Cloud Storage 1TB,Software,1,380,5.91,22.46,357.54,357.54,45,45,87.41,Tom Walsh
T0083,2023-06-22,2023,Q2,Jun,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,CRM Platform,Software,10,8500,19.91,16923.5,6807.65,68076.5,600,6000,91.19,Emily Foster
T0084,2023-06-24,2023,Q2,Jun,Coastline Hotels,C019,Mid-Market,Hospitality,West,Office Chair,Furniture,1,180,13.81,24.86,155.14,155.14,80,80,48.43,Tom Walsh
T0085,2023-06-26,2023,Q2,Jun,Polar Biotech,C020,Enterprise,Healthcare,East,CRM Platform,Software,10,8500,8.67,7369.5,7763.05,77630.5,600,6000,92.27,Aisha Patel
T0086,2023-07-01,2023,Q3,Jul,Polar Biotech,C020,Enterprise,Healthcare,East,Headset Pro,Hardware,1,220,10.63,23.39,196.61,196.61,120,120,38.97,Aisha Patel
T0087,2023-07-08,2023,Q3,Jul,Tidal Software,C016,Mid-Market,Technology,South,Laptop Pro,Hardware,1,1200,3.98,47.76,1152.24,1152.24,800,800,30.57,James Okafor
T0088,2023-07-15,2023,Q3,Jul,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,Desk Pro,Furniture,1,420,33.98,142.72,277.28,277.28,180,180,35.08,Emily Foster
T0089,2023-07-16,2023,Q3,Jul,Stratos Media,C010,SMB,Media,North,Desk Pro,Furniture,5,420,31.6,663.6,287.28,1436.4,180,900,37.34,Emily Foster
T0090,2023-07-18,2023,Q3,Jul,Orion Pharma,C008,Enterprise,Healthcare,East,Cloud Storage 1TB,Software,2,380,5.34,40.58,359.71,719.42,45,90,87.49,Aisha Patel
T0091,2023-07-20,2023,Q3,Jul,Apex Industries,C001,Enterprise,Manufacturing,North,CRM Platform,Software,5,8500,10.65,4526.25,7594.75,37973.75,600,3000,92.1,Sarah Chen
T0092,2023-07-22,2023,Q3,Jul,Cascade Retail,C005,Mid-Market,Retail,South,Office Chair,Furniture,1,180,5.93,10.67,169.33,169.33,80,80,52.75,James Okafor
T0093,2023-07-24,2023,Q3,Jul,Horizon Tech,C002,Enterprise,Technology,East,CRM Platform,Software,2,8500,6.66,1132.2,7933.9,15867.8,600,1200,92.44,Priya Sharma
T0094,2023-07-28,2023,Q3,Jul,Solaris Energy,C004,Mid-Market,Energy,West,Office Chair,Furniture,1,180,4.12,7.42,172.58,172.58,80,80,53.64,Tom Walsh
T0095,2023-07-28,2023,Q3,Jul,Ember Analytics,C018,SMB,Technology,North,Network Switch,Hardware,5,950,18.48,877.8,774.44,3872.2,540,2700,30.27,Emily Foster
T0096,2023-07-30,2023,Q3,Jul,Ember Analytics,C018,SMB,Technology,North,"Monitor 27""",Hardware,1,350,29.48,103.18,246.82,246.82,210,210,14.92,Emily Foster
T0097,2023-07-31,2023,Q3,Jul,Vertex Logistics,C007,Mid-Market,Logistics,South,Laptop Pro,Hardware,5,1200,3.82,229.2,1154.16,5770.8,800,4000,30.69,Marco Ruiz
T0098,2023-08-04,2023,Q3,Aug,Harbor Insurance,C013,Enterprise,Financial Services,East,Cloud Storage 1TB,Software,1,380,0.25,0.95,379.05,379.05,45,45,88.13,Aisha Patel
T0099,2023-08-07,2023,Q3,Aug,Orion Pharma,C008,Enterprise,Healthcare,East,"Monitor 27""",Hardware,5,350,12.76,223.3,305.34,1526.7,210,1050,31.22,Aisha Patel
T0100,2023-08-08,2023,Q3,Aug,Horizon Tech,C002,Enterprise,Technology,East,Mobile Device Mgmt,Software,3,2800,10.66,895.44,2501.52,7504.56,250,750,90.01,Priya Sharma
T0101,2023-08-08,2023,Q3,Aug,Granite Automotive,C017,Enterprise,Automotive,West,Laptop Pro,Hardware,5,1200,21.93,1315.8,936.84,4684.2,800,4000,14.61,David Evans
T0104,2023-08-19,2023,Q3,Aug,Polar Biotech,C020,Enterprise,Healthcare,East,ERP Module,Software,1,12000,10.78,1293.6,10706.4,10706.4,1200,1200,88.79,Aisha Patel
T0105,2023-08-20,2023,Q3,Aug,Stratos Media,C010,SMB,Media,North,Headset Pro,Hardware,3,220,24.63,162.57,165.81,497.43,120,360,27.63,Emily Foster
T0106,2023-08-23,2023,Q3,Aug,Horizon Tech,C002,Enterprise,Technology,East,Training Package,Services,5,1800,7.47,672.3,1665.54,8327.7,400,2000,75.98,Priya Sharma
T0107,2023-08-25,2023,Q3,Aug,Quantum Devices,C014,Enterprise,Technology,North,Headset Pro,Hardware,3,220,5.37,35.43,208.19,624.57,120,360,42.36,Sarah Chen
T0109,2023-08-28,2023,Q3,Aug,Harbor Insurance,C013,Enterprise,Financial Services,East,Mobile Device Mgmt,Software,3,2800,9.68,813.12,2528.96,7586.88,250,750,90.11,Aisha Patel
T0111,2023-09-01,2023,Q3,Sep,Polar Biotech,C020,Enterprise,Healthcare,East,BI Dashboard,Software,1,5500,7.78,427.9,5072.1,5072.1,500,500,90.14,Aisha Patel
T0113,2023-09-02,2023,Q3,Sep,Orion Pharma,C008,Enterprise,Healthcare,East,Office Chair,Furniture,1,180,2.35,4.23,175.77,175.77,80,80,54.49,Aisha Patel
T0115,2023-09-02,2023,Q3,Sep,Granite Automotive,C017,Enterprise,Automotive,West,Network Switch,Hardware,1,950,16.91,160.65,789.36,789.36,540,540,31.59,David Evans
T0117,2023-09-06,2023,Q3,Sep,Ember Analytics,C018,SMB,Technology,North,Headset Pro,Hardware,2,220,28.3,124.52,157.74,315.48,120,240,23.93,Emily Foster
T0119,2023-09-10,2023,Q3,Sep,BlueRock Mining,C009,Mid-Market,Mining,West,Security Suite,Software,10,3200,6.08,1945.6,3005.44,30054.4,280,2800,90.68,Tom Walsh
T0120,2023-09-11,2023,Q3,Sep,Delta Aerospace,C012,Enterprise,Aerospace,West,Cloud Storage 1TB,Software,1,380,18.7,71.06,308.94,308.94,45,45,85.43,David Evans
T0122,2023-09-15,2023,Q3,Sep,Quantum Devices,C014,Enterprise,Technology,North,Security Suite,Software,1,3200,3.97,127.04,3072.96,3072.96,280,280,90.89,Sarah Chen
T0123,2023-09-17,2023,Q3,Sep,Horizon Tech,C002,Enterprise,Technology,East,ERP Module,Software,2,12000,0.0,0.0,12000.0,24000.0,1200,2400,90.0,Priya Sharma
T0125,2023-09-20,2023,Q3,Sep,Cascade Retail,C005,Mid-Market,Retail,South,BI Dashboard,Software,10,5500,7.61,4185.5,5081.45,50814.5,500,5000,90.16,James Okafor
T0126,2023-09-24,2023,Q3,Sep,Cascade Retail,C005,Mid-Market,Retail,South,Mobile Device Mgmt,Software,10,2800,4.78,1338.4,2666.16,26661.6,250,2500,90.62,James Okafor
T0128,2023-09-29,2023,Q3,Sep,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,Analytics Suite,Software,1,4500,25.9,1165.5,3334.5,3334.5,500,500,85.01,Emily Foster
T0129,2023-09-29,2023,Q3,Sep,Orion Pharma,C008,Enterprise,Healthcare,East,Security Suite,Software,3,3200,13.11,1258.56,2780.48,8341.44,280,840,89.93,Aisha Patel
T0130,2023-09-30,2023,Q3,Sep,Coastline Hotels,C019,Mid-Market,Hospitality,West,Desk Pro,Furniture,2,420,3.53,29.66,405.17,810.34,180,360,55.57,Tom Walsh
T0131,2023-10-01,2023,Q4,Oct,Nimbus Financial,C006,Enterprise,Financial Services,East,ERP Module,Software,3,12000,5.09,1832.4,11389.2,34167.6,1200,3600,89.46,Priya Sharma
T0133,2023-10-04,2023,Q4,Oct,Meridian Health,C003,Enterprise,Healthcare,North,Security Suite,Software,1,3200,5.07,162.24,3037.76,3037.76,280,280,90.78,Sarah Chen
T0136,2023-10-06,2023,Q4,Oct,Granite Automotive,C017,Enterprise,Automotive,West,Server Rack,Hardware,2,6200,24.78,3072.72,4663.64,9327.28,4100,8200,12.09,David Evans
T0138,2023-10-09,2023,Q4,Oct,Stratos Media,C010,SMB,Media,North,Training Package,Services,1,1800,30.46,548.28,1251.72,1251.72,400,400,68.04,Emily Foster
T0141,2023-10-13,2023,Q4,Oct,Delta Aerospace,C012,Enterprise,Aerospace,West,CRM Platform,Software,2,8500,32.13,5462.1,5768.95,11537.9,600,1200,89.6,David Evans
T0142,2023-10-16,2023,Q4,Oct,Cascade Retail,C005,Mid-Market,Retail,South,CRM Platform,Software,1,8500,13.07,1110.95,7389.05,7389.05,600,600,91.88,James Okafor
T0143,2023-10-17,2023,Q4,Oct,Orion Pharma,C008,Enterprise,Healthcare,East,Headset Pro,Hardware,2,220,5.64,24.82,207.59,415.18,120,240,42.19,Aisha Patel
T0144,2023-10-18,2023,Q4,Oct,Quantum Devices,C014,Enterprise,Technology,North,CRM Platform,Software,2,8500,8.06,1370.2,7814.9,15629.8,600,1200,92.32,Sarah Chen
T0145,2023-10-18,2023,Q4,Oct,Polar Biotech,C020,Enterprise,Healthcare,East,Analytics Suite,Software,3,4500,9.63,1300.05,4066.65,12199.95,500,1500,87.7,Aisha Patel
T0147,2023-10-21,2023,Q4,Oct,Apex Industries,C001,Enterprise,Manufacturing,North,Cloud Storage 1TB,Software,5,380,12.9,245.1,330.98,1654.9,45,225,86.4,Sarah Chen
T0148,2023-10-22,2023,Q4,Oct,BlueRock Mining,C009,Mid-Market,Mining,West,Server Rack,Hardware,2,6200,3.73,462.52,5968.74,11937.48,4100,8200,31.31,Tom Walsh
T0149,2023-10-23,2023,Q4,Oct,Horizon Tech,C002,Enterprise,Technology,East,Security Suite,Software,2,3200,1.27,81.28,3159.36,6318.72,280,560,91.14,Priya Sharma
T0150,2023-10-23,2023,Q4,Oct,BlueRock Mining,C009,Mid-Market,Mining,West,Cloud Storage 1TB,Software,2,380,9.69,73.64,343.18,686.36,45,90,86.89,Tom Walsh
T0151,2023-10-24,2023,Q4,Oct,Delta Aerospace,C012,Enterprise,Aerospace,West,Security Suite,Software,2,3200,19.94,1276.16,2561.92,5123.84,280,560,89.07,David Evans
T0153,2023-10-24,2023,Q4,Oct,Vertex Logistics,C007,Mid-Market,Logistics,South,BI Dashboard,Software,1,5500,9.2,506.0,4994.0,4994.0,500,500,89.99,Marco Ruiz
T0154,2023-10-26,2023,Q4,Oct,Redwood Construction,C015,SMB,Construction,South,Laptop Pro,Hardware,1,1200,7.43,89.16,1110.84,1110.84,800,800,27.98,Marco Ruiz
T0156,2023-10-30,2023,Q4,Oct,Vertex Logistics,C007,Mid-Market,Logistics,South,Network Switch,Hardware,10,950,11.07,1051.7,844.84,8448.4,540,5400,36.08,Marco Ruiz
T0157,2023-10-30,2023,Q4,Oct,Horizon Tech,C002,Enterprise,Technology,East,CRM Platform,Software,10,8500,11.73,9970.5,7502.95,75029.5,600,6000,92.0,Priya Sharma
T0158,2023-10-30,2023,Q4,Oct,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,BI Dashboard,Software,10,5500,45.0,24750.0,3025.0,30250.0,500,5000,83.47,Emily Foster
T0161,2023-11-04,2023,Q4,Nov,BlueRock Mining,C009,Mid-Market,Mining,West,Network Switch,Hardware,1,950,6.92,65.74,884.26,884.26,540,540,38.93,Tom Walsh
T0162,2023-11-05,2023,Q4,Nov,Quantum Devices,C014,Enterprise,Technology,North,Desk Pro,Furniture,5,420,4.19,88.0,402.4,2012.0,180,900,55.27,Sarah Chen
T0163,2023-11-06,2023,Q4,Nov,Quantum Devices,C014,Enterprise,Technology,North,Headset Pro,Hardware,2,220,9.32,41.0,199.5,399.0,120,240,39.85,Sarah Chen
T0164,2023-11-06,2023,Q4,Nov,Polar Biotech,C020,Enterprise,Healthcare,East,Desk Pro,Furniture,1,420,2.38,10.0,410.0,410.0,180,180,56.1,Aisha Patel
T0165,2023-11-07,2023,Q4,Nov,Polar Biotech,C020,Enterprise,Healthcare,East,ERP Module,Software,3,12000,8.88,3196.8,10934.4,32803.2,1200,3600,89.03,Aisha Patel
T0167,2023-11-11,2023,Q4,Nov,Cascade Retail,C005,Mid-Market,Retail,South,Laptop Pro,Hardware,1,1200,10.27,123.24,1076.76,1076.76,800,800,25.7,James Okafor
T0168,2023-11-12,2023,Q4,Nov,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,Office Chair,Furniture,1,180,13.58,24.44,155.56,155.56,80,80,48.57,Emily Foster
T0169,2023-11-12,2023,Q4,Nov,Granite Automotive,C017,Enterprise,Automotive,West,Network Switch,Hardware,10,950,13.76,1307.2,819.28,8192.8,540,5400,34.09,David Evans
T0170,2023-11-18,2023,Q4,Nov,Horizon Tech,C002,Enterprise,Technology,East,Laptop Pro,Hardware,5,1200,5.83,349.8,1130.04,5650.2,800,4000,29.21,Priya Sharma
T0171,2023-11-19,2023,Q4,Nov,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,Network Switch,Hardware,2,950,36.16,687.04,606.48,1212.96,540,1080,10.96,Emily Foster
T0173,2023-11-28,2023,Q4,Nov,Horizon Tech,C002,Enterprise,Technology,East,Server Rack,Hardware,1,6200,17.36,1076.32,5123.68,5123.68,4100,4100,19.98,Priya Sharma
T0174,2023-11-28,2023,Q4,Nov,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,Laptop Pro,Hardware,5,1200,18.09,1085.4,982.92,4914.6,800,4000,18.61,Emily Foster
T0175,2023-12-04,2023,Q4,Dec,Orion Pharma,C008,Enterprise,Healthcare,East,Analytics Suite,Software,2,4500,4.76,428.4,4285.8,8571.6,500,1000,88.33,Aisha Patel
T0178,2023-12-08,2023,Q4,Dec,Quantum Devices,C014,Enterprise,Technology,North,Mobile Device Mgmt,Software,2,2800,16.74,937.44,2331.28,4662.56,250,500,89.28,Sarah Chen
T0180,2023-12-11,2023,Q4,Dec,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,"Monitor 27""",Hardware,5,350,21.32,373.1,275.38,1376.9,210,1050,23.74,Emily Foster
T0181,2023-12-13,2023,Q4,Dec,Granite Automotive,C017,Enterprise,Automotive,West,Security Suite,Software,1,3200,33.81,1081.92,2118.08,2118.08,280,280,86.78,David Evans
T0182,2023-12-14,2023,Q4,Dec,Orion Pharma,C008,Enterprise,Healthcare,East,Network Switch,Hardware,5,950,4.03,191.45,911.72,4558.6,540,2700,40.77,Aisha Patel
T0183,2023-12-19,2023,Q4,Dec,Solaris Energy,C004,Mid-Market,Energy,West,Laptop Pro,Hardware,5,1200,9.96,597.6,1080.48,5402.4,800,4000,25.96,Tom Walsh
T0184,2023-12-19,2023,Q4,Dec,Coastline Hotels,C019,Mid-Market,Hospitality,West,ERP Module,Software,10,12000,9.56,11472.0,10852.8,108528.0,1200,12000,88.94,Tom Walsh
T0187,2023-12-21,2023,Q4,Dec,Redwood Construction,C015,SMB,Construction,South,Desk Pro,Furniture,5,420,0.7,14.7,417.06,2085.3,180,900,56.84,Marco Ruiz
T0188,2023-12-24,2023,Q4,Dec,Vertex Logistics,C007,Mid-Market,Logistics,South,Headset Pro,Hardware,10,220,18.61,409.4,179.06,1790.6,120,1200,32.98,Marco Ruiz
T0191,2024-01-02,2024,Q1,Jan,BlueRock Mining,C009,Mid-Market,Mining,West,BI Dashboard,Software,1,5500,14.19,780.45,4719.55,4719.55,500,500,89.41,Tom Walsh
T0192,2024-01-04,2024,Q1,Jan,Harbor Insurance,C013,Enterprise,Financial Services,East,Server Rack,Hardware,3,6200,9.79,1820.94,5593.02,16779.06,4100,12300,26.69,Aisha Patel
T0193,2024-01-06,2024,Q1,Jan,Redwood Construction,C015,SMB,Construction,South,Network Switch,Hardware,1,950,2.4,22.8,927.2,927.2,540,540,41.76,Marco Ruiz
T0194,2024-01-06,2024,Q1,Jan,Horizon Tech,C002,Enterprise,Technology,East,"Monitor 27""",Hardware,5,350,1.47,25.7,344.85,1724.25,210,1050,39.1,Priya Sharma
T0195,2024-01-09,2024,Q1,Jan,Meridian Health,C003,Enterprise,Healthcare,North,Mobile Device Mgmt,Software,2,2800,10.61,594.16,2502.92,5005.84,250,500,90.01,Sarah Chen
T0196,2024-01-10,2024,Q1,Jan,Pinnacle Consulting,C011,Mid-Market,Professional Svcs,North,Headset Pro,Hardware,5,220,23.68,260.5,167.9,839.5,120,600,28.53,Emily Foster
